_key,alternativeNames,createdAt,gadm,geojson.geometry.type,geojson.geometry.coordinates,geojson.type,geojson.properties,issues,name,social.rating,social.totalComments,touristic,type,updatedAt
"1",[],"2017-05-06T00:00:00.000Z","Gadm/MEX.31.50_1","Point",[-89.689503,20.728789],"Feature",{},[],"Sambulá",4.552380952380952,210,true,"CENOTE","2021-05-16T23:59:17.680Z"
"10",[],"2015-09-15T06:00:00.000Z","Gadm/MEX.31.24_1","Point",[-89.384213,20.623274],"Feature",{},[],"Noh mozon",,244,true,"CENOTE","2021-05-16T23:59:17.680Z"
"100",[],"2017-05-09T00:00:00.000Z","Gadm/MEX.31.102_1","Point",[-88.29634,20.64088],"Feature",{},[],"Horno encantado",,0,false,"CENOTE","2021-05-16T23:59:17.680Z"
"1000",[],"2019-06-27T00:00:00.000Z","Gadm/MEX.31.19_1","Point",[-88.489444,20.329444],"Feature",{},["GEOTAG_NOT_VERIFIED"],"El cabo",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1001",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.19_1","Point",[-88.513611,20.302777],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Naranja",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1002",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.639722,20.845277],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Abli",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1003",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.741944,20.8025],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Aktun ek",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1004",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.676388,20.839444],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Aktun teel",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1005",[],"2019-06-27T00:00:00.000Z","Gadm/MEX.31.42_1","Point",[-88.977222,20.783888],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Aktun uspibil",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1006",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.741944,20.815],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Álamo I",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
